t,x,y
0.000000000000000000e+00,4.894695746171725537e-01,4.597169526478898649e-01
1.000000000000000000e+00,4.899368932868471416e-01,4.599661892717163414e-01
2.000000000000000000e+00,4.903107482225868008e-01,4.605892808312824216e-01
3.000000000000000000e+00,4.901238207547169434e-01,4.613369907027617955e-01
4.000000000000000000e+00,4.900303570207820147e-01,4.610877540789353191e-01
5.000000000000000000e+00,4.895630383511073713e-01,4.608385174551088981e-01
6.000000000000000000e+00,4.895630383511073713e-01,4.605892808312824216e-01
7.000000000000000000e+00,4.895630383511073713e-01,4.604646625193691833e-01
8.000000000000000000e+00,4.895630383511073713e-01,4.603400442074559451e-01
9.000000000000000000e+00,4.892826471493026963e-01,4.602154258955428179e-01
1.000000000000000000e+01,4.896565020850423555e-01,4.603400442074559451e-01
1.100000000000000000e+01,4.894695746171725537e-01,4.603400442074559451e-01
1.200000000000000000e+01,4.894695746171725537e-01,4.603400442074559451e-01
1.300000000000000000e+01,4.894695746171725537e-01,4.603400442074559451e-01
1.400000000000000000e+01,4.896565020850423555e-01,4.583461512168443552e-01
1.500000000000000000e+01,4.894695746171725537e-01,4.584707695287575935e-01
1.600000000000000000e+01,4.891891834153677121e-01,4.580969145930179898e-01
1.700000000000000000e+01,4.892826471493026963e-01,4.584707695287575935e-01
1.800000000000000000e+01,4.892826471493026963e-01,4.589692427764104909e-01
1.900000000000000000e+01,4.892826471493026963e-01,4.593430977121502057e-01
2.000000000000000000e+01,4.892826471493026963e-01,4.597169526478898649e-01
2.100000000000000000e+01,4.891891834153677121e-01,4.585953878406708317e-01
2.200000000000000000e+01,4.891891834153677121e-01,4.580969145930179898e-01
2.300000000000000000e+01,4.892826471493026963e-01,4.575984413453650368e-01
2.400000000000000000e+01,4.892826471493026963e-01,4.585953878406708317e-01
2.500000000000000000e+01,4.893761108832376250e-01,4.597169526478898649e-01
2.600000000000000000e+01,4.893761108832376250e-01,4.599661892717163414e-01
2.700000000000000000e+01,4.890022559474979658e-01,4.592184794002369674e-01
2.800000000000000000e+01,4.888153284796280529e-01,4.590938610883237292e-01
2.900000000000000000e+01,4.888153284796280529e-01,4.592184794002369674e-01
3.000000000000000000e+01,4.887218647456931242e-01,4.590938610883237292e-01
3.100000000000000000e+01,4.885349372778233779e-01,4.593430977121502057e-01
3.200000000000000000e+01,4.884414735438884492e-01,4.590938610883237292e-01
3.300000000000000000e+01,4.879741548742138058e-01,4.593430977121502057e-01
3.400000000000000000e+01,4.882545460760185363e-01,4.593430977121502057e-01
3.500000000000000000e+01,4.880676186081487899e-01,4.594677160240633884e-01
3.600000000000000000e+01,4.881610823420836076e-01,4.585953878406708317e-01
3.700000000000000000e+01,4.882545460760185363e-01,4.577230596572782750e-01
3.800000000000000000e+01,4.882545460760185363e-01,4.575984413453650368e-01
3.900000000000000000e+01,4.881610823420836076e-01,4.574738230334518541e-01
4.000000000000000000e+01,4.880676186081487899e-01,4.574738230334518541e-01
4.100000000000000000e+01,4.881610823420836076e-01,4.583461512168443552e-01
4.200000000000000000e+01,4.876937636724090197e-01,4.597169526478898649e-01
4.300000000000000000e+01,4.875068362045392178e-01,4.599661892717163414e-01
4.400000000000000000e+01,4.872264450027344318e-01,4.602154258955428179e-01
4.500000000000000000e+01,4.870395175348646299e-01,4.595923343359766822e-01
4.600000000000000000e+01,4.868525900669947726e-01,4.598415709598031031e-01
4.700000000000000000e+01,4.867591263330597884e-01,4.594677160240633884e-01
4.800000000000000000e+01,4.865721988651900420e-01,4.592184794002369674e-01
4.900000000000000000e+01,4.867591263330597884e-01,4.590938610883237292e-01
5.000000000000000000e+01,4.866656625991249707e-01,4.589692427764104909e-01
5.100000000000000000e+01,4.868525900669947726e-01,4.590938610883237292e-01
5.200000000000000000e+01,4.871329812687995586e-01,4.583461512168443552e-01
5.300000000000000000e+01,4.873199087366693605e-01,4.574738230334518541e-01
5.400000000000000000e+01,4.874133724706042892e-01,4.573492047215385603e-01
5.500000000000000000e+01,4.874133724706042892e-01,4.573492047215385603e-01
5.600000000000000000e+01,4.877872274063439484e-01,4.572245864096253221e-01
5.700000000000000000e+01,4.876002999384741465e-01,4.572245864096253221e-01
5.800000000000000000e+01,4.876937636724090197e-01,4.572245864096253221e-01
5.900000000000000000e+01,4.873199087366693605e-01,4.563522582262327654e-01
6.000000000000000000e+01,4.869460538009297013e-01,4.556045483547534469e-01
6.100000000000000000e+01,4.868525900669947726e-01,4.546076018594475965e-01
6.200000000000000000e+01,4.867591263330597884e-01,4.546076018594475965e-01
