t,x,y
0.000000000000000000e+00,4.608696720330872076e-01,4.842667600947953566e-01
1.000000000000000000e+00,4.608696720330872076e-01,4.837682868471424036e-01
2.000000000000000000e+00,4.609631357670220808e-01,4.838929051590556973e-01
3.000000000000000000e+00,4.610565995009570650e-01,4.841421417828821183e-01
4.000000000000000000e+00,4.612435269688268669e-01,4.850144699662746750e-01
5.000000000000000000e+00,4.615239181706316529e-01,4.847652333424481985e-01
6.000000000000000000e+00,4.617108456385014548e-01,4.843913784067085948e-01
7.000000000000000000e+00,4.618977731063713121e-01,4.840175234709688801e-01
8.000000000000000000e+00,4.616173819045665261e-01,4.835190502233159826e-01
9.000000000000000000e+00,4.615239181706316529e-01,4.842667600947953566e-01
1.000000000000000000e+01,4.614304544366967242e-01,4.838929051590556973e-01
1.100000000000000000e+01,4.616173819045665261e-01,4.837682868471424036e-01
1.200000000000000000e+01,4.616173819045665261e-01,4.838929051590556973e-01
1.300000000000000000e+01,4.616173819045665261e-01,4.840175234709688801e-01
1.400000000000000000e+01,4.614304544366967242e-01,4.840175234709688801e-01
1.500000000000000000e+01,4.615239181706316529e-01,4.833944319114027444e-01
1.600000000000000000e+01,4.613369907027617955e-01,4.845159967186218331e-01
1.700000000000000000e+01,4.615239181706316529e-01,4.856375615258408107e-01
1.800000000000000000e+01,4.616173819045665261e-01,4.852637065901010960e-01
1.900000000000000000e+01,4.616173819045665261e-01,4.857621798377540490e-01
2.000000000000000000e+01,4.616173819045665261e-01,4.862606530854069464e-01
2.100000000000000000e+01,4.615239181706316529e-01,4.867591263330598994e-01
2.200000000000000000e+01,4.615239181706316529e-01,4.867591263330598994e-01
2.300000000000000000e+01,4.614304544366967242e-01,4.867591263330598994e-01
2.400000000000000000e+01,4.615239181706316529e-01,4.866345080211466612e-01
2.500000000000000000e+01,4.616173819045665261e-01,4.865098897092334229e-01
2.600000000000000000e+01,4.617108456385014548e-01,4.848898516543615478e-01
2.700000000000000000e+01,4.618043093724364390e-01,4.847652333424481985e-01
2.800000000000000000e+01,4.616173819045665261e-01,4.850144699662746750e-01
2.900000000000000000e+01,4.616173819045665261e-01,4.850144699662746750e-01
3.000000000000000000e+01,4.617108456385014548e-01,4.850144699662746750e-01
3.100000000000000000e+01,4.617108456385014548e-01,4.851390882781879133e-01
3.200000000000000000e+01,4.618043093724364390e-01,4.846406150305349603e-01
3.300000000000000000e+01,4.617108456385014548e-01,4.841421417828821183e-01
3.400000000000000000e+01,4.618043093724364390e-01,4.842667600947953566e-01
3.500000000000000000e+01,4.619912368403062408e-01,4.843913784067085948e-01
3.600000000000000000e+01,4.618043093724364390e-01,4.843913784067085948e-01
3.700000000000000000e+01,4.617108456385014548e-01,4.842667600947953566e-01
3.800000000000000000e+01,4.617108456385014548e-01,4.842667600947953566e-01
3.900000000000000000e+01,4.613369907027617955e-01,4.842667600947953566e-01
4.000000000000000000e+01,4.614304544366967242e-01,4.842667600947953566e-01
4.100000000000000000e+01,4.615239181706316529e-01,4.842667600947953566e-01
4.200000000000000000e+01,4.615239181706316529e-01,4.842667600947953566e-01
4.300000000000000000e+01,4.614304544366967242e-01,4.843913784067085948e-01
4.400000000000000000e+01,4.618043093724364390e-01,4.848898516543615478e-01
4.500000000000000000e+01,4.615239181706316529e-01,4.847652333424481985e-01
4.600000000000000000e+01,4.614304544366967242e-01,4.853883249020143342e-01
4.700000000000000000e+01,4.615239181706316529e-01,4.850144699662746750e-01
4.800000000000000000e+01,4.615239181706316529e-01,4.851390882781879133e-01
4.900000000000000000e+01,4.618043093724364390e-01,4.850144699662746750e-01
5.000000000000000000e+01,4.619912368403062408e-01,4.851390882781879133e-01
5.100000000000000000e+01,4.620847005742411140e-01,4.852637065901010960e-01
5.200000000000000000e+01,4.620847005742411140e-01,4.856375615258408107e-01
5.300000000000000000e+01,4.620847005742411140e-01,4.856375615258408107e-01
5.400000000000000000e+01,4.620847005742411140e-01,4.856375615258408107e-01
5.500000000000000000e+01,4.622716280421110269e-01,4.853883249020143342e-01
5.600000000000000000e+01,4.618043093724364390e-01,4.853883249020143342e-01
