t,x,y
0.000000000000000000e+00,4.771323617377631887e-01,4.624585555099808842e-01
1.000000000000000000e+00,4.772258254716981174e-01,4.628324104457204879e-01
2.000000000000000000e+00,4.775062166735027924e-01,4.632062653814601472e-01
3.000000000000000000e+00,4.775062166735027924e-01,4.627077921338072497e-01
4.000000000000000000e+00,4.775062166735027924e-01,4.620847005742411695e-01
5.000000000000000000e+00,4.783473902789171506e-01,4.620847005742411695e-01
6.000000000000000000e+00,4.783473902789171506e-01,4.620847005742411695e-01
7.000000000000000000e+00,4.783473902789171506e-01,4.618354639504147485e-01
8.000000000000000000e+00,4.785343177467869524e-01,4.624585555099808842e-01
9.000000000000000000e+00,4.785343177467869524e-01,4.630816470695469644e-01
1.000000000000000000e+01,4.784408540128520237e-01,4.629570287576337262e-01
1.100000000000000000e+01,4.783473902789171506e-01,4.629570287576337262e-01
1.200000000000000000e+01,4.781604628110472932e-01,4.625831738218940115e-01
1.300000000000000000e+01,4.781604628110472932e-01,4.623339371980676460e-01
1.400000000000000000e+01,4.781604628110472932e-01,4.613369907027617955e-01
1.500000000000000000e+01,4.778800716092425072e-01,4.613369907027617955e-01
1.600000000000000000e+01,4.776931441413727053e-01,4.613369907027617955e-01
1.700000000000000000e+01,4.775062166735027924e-01,4.615862273265882165e-01
1.800000000000000000e+01,4.775062166735027924e-01,4.617108456385015103e-01
1.900000000000000000e+01,4.775996804074377766e-01,4.615862273265882165e-01
2.000000000000000000e+01,4.777866078753075785e-01,4.619600822623279313e-01
2.100000000000000000e+01,4.777866078753075785e-01,4.617108456385015103e-01
2.200000000000000000e+01,4.779735353431774358e-01,4.618354639504147485e-01
2.300000000000000000e+01,4.778800716092425072e-01,4.619600822623279313e-01
2.400000000000000000e+01,4.778800716092425072e-01,4.622093188861542967e-01
2.500000000000000000e+01,4.778800716092425072e-01,4.623339371980676460e-01
2.600000000000000000e+01,4.779735353431774358e-01,4.634555020052866237e-01
2.700000000000000000e+01,4.779735353431774358e-01,4.635801203171998619e-01
2.800000000000000000e+01,4.779735353431774358e-01,4.634555020052866237e-01
2.900000000000000000e+01,4.780669990771123645e-01,4.633308836933734409e-01
3.000000000000000000e+01,4.780669990771123645e-01,4.632062653814601472e-01
3.100000000000000000e+01,4.781604628110472932e-01,4.632062653814601472e-01
3.200000000000000000e+01,4.785343177467869524e-01,4.644524485005924741e-01
3.300000000000000000e+01,4.789081726825266117e-01,4.658232499316379283e-01
3.400000000000000000e+01,4.788147089485916830e-01,4.649509217482454271e-01
3.500000000000000000e+01,4.787212452146568098e-01,4.642032118767659976e-01
3.600000000000000000e+01,4.787212452146568098e-01,4.624585555099808842e-01
3.700000000000000000e+01,4.786277814807218811e-01,4.623339371980676460e-01
3.800000000000000000e+01,4.786277814807218811e-01,4.633308836933734409e-01
3.900000000000000000e+01,4.786277814807218811e-01,4.644524485005924741e-01
4.000000000000000000e+01,4.785343177467869524e-01,4.642032118767659976e-01
4.100000000000000000e+01,4.785343177467869524e-01,4.638293569410262829e-01
4.200000000000000000e+01,4.786277814807218811e-01,4.632062653814601472e-01
4.300000000000000000e+01,4.787212452146568098e-01,4.630816470695469644e-01
4.400000000000000000e+01,4.787212452146568098e-01,4.630816470695469644e-01
4.500000000000000000e+01,4.786277814807218811e-01,4.629570287576337262e-01
4.600000000000000000e+01,4.786277814807218811e-01,4.628324104457204879e-01
4.700000000000000000e+01,4.786277814807218811e-01,4.627077921338072497e-01
4.800000000000000000e+01,4.783473902789171506e-01,4.629570287576337262e-01
4.900000000000000000e+01,4.781604628110472932e-01,4.632062653814601472e-01
5.000000000000000000e+01,4.778800716092425072e-01,4.638293569410262829e-01
5.100000000000000000e+01,4.776931441413727053e-01,4.638293569410262829e-01
5.200000000000000000e+01,4.778800716092425072e-01,4.638293569410262829e-01
5.300000000000000000e+01,4.779735353431774358e-01,4.637047386291131001e-01
5.400000000000000000e+01,4.778800716092425072e-01,4.635801203171998619e-01
5.500000000000000000e+01,4.780669990771123645e-01,4.633308836933734409e-01
5.600000000000000000e+01,4.783473902789171506e-01,4.628324104457204879e-01
5.700000000000000000e+01,4.783473902789171506e-01,4.632062653814601472e-01
