t,x,y
0.000000000000000000e+00,4.985355568088596923e-01,4.323009240269801712e-01
1.000000000000000000e+00,4.985355568088596923e-01,4.324255423388934094e-01
2.000000000000000000e+00,4.985355568088596923e-01,4.330486338984595451e-01
3.000000000000000000e+00,4.984420930749247081e-01,4.330486338984595451e-01
4.000000000000000000e+00,4.984420930749247081e-01,4.330486338984595451e-01
5.000000000000000000e+00,4.985355568088596923e-01,4.327993972746331242e-01
6.000000000000000000e+00,4.986290205427946209e-01,4.330486338984595451e-01
7.000000000000000000e+00,4.986290205427946209e-01,4.330486338984595451e-01
8.000000000000000000e+00,4.986290205427946209e-01,4.329240155865463069e-01
9.000000000000000000e+00,4.982551656070549617e-01,4.330486338984595451e-01
1.000000000000000000e+01,4.982551656070549617e-01,4.331732522103727834e-01
1.100000000000000000e+01,4.982551656070549617e-01,4.332978705222860216e-01
1.200000000000000000e+01,4.982551656070549617e-01,4.335471071461123871e-01
1.300000000000000000e+01,4.981617018731200330e-01,4.346686719533314758e-01
1.400000000000000000e+01,4.983486293409898904e-01,4.344194353295050548e-01
1.500000000000000000e+01,4.982551656070549617e-01,4.349179085771579523e-01
1.600000000000000000e+01,4.982551656070549617e-01,4.354163818248108497e-01
1.700000000000000000e+01,4.982551656070549617e-01,4.355410001367240880e-01
1.800000000000000000e+01,4.982551656070549617e-01,4.355410001367240880e-01
1.900000000000000000e+01,4.983486293409898904e-01,4.360394733843769299e-01
2.000000000000000000e+01,4.984420930749247081e-01,4.360394733843769299e-01
2.100000000000000000e+01,4.985355568088596923e-01,4.359148550724638027e-01
2.200000000000000000e+01,4.983486293409898904e-01,4.357902367605504534e-01
2.300000000000000000e+01,4.985355568088596923e-01,4.354163818248108497e-01
2.400000000000000000e+01,4.984420930749247081e-01,4.351671452009843732e-01
2.500000000000000000e+01,4.983486293409898904e-01,4.349179085771579523e-01
2.600000000000000000e+01,4.978813106713153025e-01,4.347932902652447140e-01
2.700000000000000000e+01,4.978813106713153025e-01,4.347932902652447140e-01
2.800000000000000000e+01,4.977878469373803738e-01,4.337963437699389746e-01
2.900000000000000000e+01,4.977878469373803738e-01,4.335471071461123871e-01
3.000000000000000000e+01,4.976943832034453896e-01,4.332978705222860216e-01
3.100000000000000000e+01,4.977878469373803738e-01,4.332978705222860216e-01
3.200000000000000000e+01,4.978813106713153025e-01,4.334224888341992599e-01
3.300000000000000000e+01,4.981617018731200330e-01,4.331732522103727834e-01
3.400000000000000000e+01,4.981617018731200330e-01,4.329240155865463069e-01
3.500000000000000000e+01,4.981617018731200330e-01,4.321763057150669884e-01
3.600000000000000000e+01,4.981617018731200330e-01,4.319270690912405120e-01
3.700000000000000000e+01,4.982551656070549617e-01,4.320516874031536947e-01
3.800000000000000000e+01,4.983486293409898904e-01,4.320516874031536947e-01
3.900000000000000000e+01,4.982551656070549617e-01,4.323009240269801712e-01
4.000000000000000000e+01,4.981617018731200330e-01,4.324255423388934094e-01
4.100000000000000000e+01,4.981617018731200330e-01,4.324255423388934094e-01
4.200000000000000000e+01,4.980682381391850488e-01,4.323009240269801712e-01
4.300000000000000000e+01,4.979747744052501202e-01,4.321763057150669884e-01
4.400000000000000000e+01,4.978813106713153025e-01,4.320516874031536947e-01
4.500000000000000000e+01,4.978813106713153025e-01,4.319270690912405120e-01
4.600000000000000000e+01,4.979747744052501202e-01,4.316778324674140355e-01
4.700000000000000000e+01,4.981617018731200330e-01,4.319270690912405120e-01
4.800000000000000000e+01,4.980682381391850488e-01,4.320516874031536947e-01
4.900000000000000000e+01,4.980682381391850488e-01,4.320516874031536947e-01
5.000000000000000000e+01,4.976943832034453896e-01,4.320516874031536947e-01
5.100000000000000000e+01,4.976943832034453896e-01,4.319270690912405120e-01
5.200000000000000000e+01,4.975074557355755323e-01,4.320516874031536947e-01
5.300000000000000000e+01,4.975074557355755323e-01,4.316778324674140355e-01
5.400000000000000000e+01,4.974139920016407146e-01,4.311793592197611935e-01
5.500000000000000000e+01,4.975074557355755323e-01,4.311793592197611935e-01
5.600000000000000000e+01,4.976009194695104609e-01,4.311793592197611935e-01
5.700000000000000000e+01,4.976943832034453896e-01,4.311793592197611935e-01
5.800000000000000000e+01,4.976009194695104609e-01,4.309301225959347170e-01
